canonical_name,dog_base_severity,cat_base_severity,occurrence_count
vitamin_e,good,good,4534
vitamin_b1,good,good,4100
vitamin_b6,good,good,3921
vitamin_b2,good,good,3855
vitamin_b12,good,good,3687
vitamin_a,good,good,3627
vitamin_d3,good,good,3591
vitamin_b3,good,good,3449
iron_sulfate,good,good,2458
vitamin_c,neutral,neutral,1203
water,neutral,neutral,1114
chicken_liver,neutral,neutral,818
chicken_broth,neutral,neutral,749
beef,good,good,727
tuna,neutral,neutral,697
meat_by_product,caution,caution,618
wheat_gluten,neutral,caution,616
turkey,good,good,522
wheat_flour,neutral,caution,494
liver,neutral,neutral,488
brewer’s_yeast,neutral,neutral,483
egg,good,good,439
oat_meal,neutral,neutral,421
dried_yeast,good,good,302
chicken_heart,neutral,neutral,283
soy_oil,caution,caution,281
cornprotein_meal,neutral,neutral,268
gelatin,neutral,neutral,263
lamb,good,good,253
lactic_acid,neutral,neutral,245
chicken_flavor,neutral,neutral,242
vegetable_oil,neutral,neutral,234
fish_broth,neutral,neutral,224
corn_starch,neutral,caution,218
calcium_lactate,neutral,neutral,217
pea_fiber,neutral,neutral,216
turkey_meal,neutral,neutral,212
sunflower_seed_oil,neutral,neutral,205
pea_starch,neutral,neutral,204
beef_liver,neutral,neutral,202
cane_molasses,neutral,neutral,197
rice_flour,neutral,neutral,195
pork_liver,neutral,neutral,181
red_#40,neutral,neutral,167
preserved_with_mixed_tocopherols,neutral,neutral,166
beef_fat,neutral,neutral,164
egg_white,neutral,neutral,163
cassia_gum,neutral,neutral,162
glucosamine,good,good,158
lecithin,neutral,neutral,154
nicotinic_acid,neutral,neutral,154
pork,good,good,153
poultry_by_products,neutral,neutral,149
iodized_salt,neutral,neutral,147
mixed_tocopherols_for_freshness,good,good,147
pea_flour,neutral,neutral,145
yeast_culture,neutral,neutral,145
cheese,neutral,neutral,145
tomatoes,neutral,neutral,141
egg_product,neutral,neutral,140
sodium_carbonate,neutral,neutral,139
miscanthus_grass,neutral,neutral,136
beef_broth,neutral,neutral,135
animal_plasma,caution,caution,133
yellow_#6,neutral,neutral,129
oil_of_rosemary,neutral,neutral,127
carrot,neutral,neutral,126
potato_protein,neutral,neutral,126
menhaden_fish_meal,neutral,neutral,125
yeast_extract,neutral,neutral,121
lamb_meal,neutral,neutral,120
rosemary,neutral,neutral,116
vinegar,neutral,neutral,112
turkey_broth,neutral,neutral,104
celery_powder,neutral,neutral,103
turkey_liver,neutral,neutral,101
mackerel,neutral,neutral,101
sorbic_acid,neutral,neutral,99
spearmint_extract,neutral,neutral,97
whitefish,good,good,96
fructooligosaccharide,neutral,neutral,96
barley_grass,neutral,neutral,91
apple,neutral,neutral,90
menhaden_fish_oil,neutral,neutral,90
herring,good,good,90
beef_lung,neutral,neutral,89
blue_#2,neutral,neutral,87
tomato,neutral,neutral,87
bacon,neutral,neutral,84
chicken_bone_broth,neutral,neutral,83
vegetable_juice_for_color,neutral,neutral,82
butternut_squash,neutral,neutral,82
apple_cider_vinegar,neutral,neutral,81
pork_meal,neutral,neutral,80
pork_by_products,neutral,neutral,80
sodium_acid_pyrophosphate,neutral,neutral,78
rice_bran,neutral,neutral,76
blueberry,neutral,neutral,76
monosodium_phosphate,neutral,neutral,73
oat_fiber,neutral,neutral,73
malted_barley_flour,neutral,neutral,71
new_zealand_green_mussel,neutral,neutral,70
beef_meal,neutral,neutral,70
fish_flavor,neutral,neutral,70
coconut_glycerin,neutral,neutral,68
psyllium_seed_husk,neutral,neutral,68
whitefish_meal,neutral,neutral,67
animal_fat_preserved_with_mixed_tocopherols,caution,caution,67
chia_seed,neutral,neutral,65
suncured_alfalfa_meal,neutral,neutral,65
sea_salt,neutral,neutral,65
preserved_with_mixed_tocopherols_and_citric_acid,neutral,neutral,64
chicken_gizzard,neutral,neutral,64
mixed_tocopherols_added_to_preserve_freshness,good,good,64
pork_fat,neutral,neutral,64
beef_kidney,neutral,neutral,63
flaxseed_meal,good,neutral,63
tuna_oil,neutral,neutral,61
lamb_liver,neutral,neutral,61
direct_dehydrated_alfalfa_pellets,neutral,neutral,60
ethylenediamine_dihydroiodide,neutral,neutral,60
herring_meal,neutral,neutral,59
vitamin_b5,neutral,neutral,58
iron_oxide_color,caution,caution,57
herring_oil,neutral,neutral,56
venison,good,good,55
paprika_oleoresin,neutral,neutral,55
marigold_extract,neutral,neutral,54
thyme,neutral,neutral,54
sardine,neutral,neutral,54
modified_tapioca_starch,neutral,neutral,51
tocopherols,neutral,neutral,51
animal_liver,neutral,neutral,51
pumpkin_seeds,good,good,50
cranberry,neutral,neutral,50
tetrasodium_pyrophosphate,neutral,neutral,47
beets,neutral,neutral,47
vitamin_b9,neutral,neutral,47
sage,neutral,neutral,46
pork_gelatin,neutral,neutral,46
salmon_broth,good,good,46
cod,neutral,neutral,46
erythorbic_acid,neutral,neutral,45
folic_acid_contains_a_source_of_live,neutral,neutral,45
corn_germ_meal,neutral,caution,44
poultry_fat,neutral,neutral,43
beef_bone_broth,neutral,neutral,42
chicken_by_products,neutral,neutral,42
althea_root,neutral,neutral,42
juniper_berries,neutral,neutral,42
duck_meal,neutral,neutral,42
garbanzo_beans,neutral,neutral,41
pumpkin_seed,good,good,41
filet_mignon_flavor,neutral,neutral,40
canola_meal,neutral,neutral,40
carmine,neutral,neutral,40
garlic_oil,neutral,neutral,40
kelp_meal,neutral,neutral,39
fenugreek_seed,neutral,neutral,39
flavors,neutral,neutral,38
beef_heart,neutral,neutral,38
sarsaparilla_root,neutral,neutral,38
pork_broth,neutral,neutral,37
apple_pomace,neutral,neutral,36
pressed_cranberries,neutral,neutral,36
choline,neutral,neutral,36
flax_seed,neutral,neutral,35
collard_greens,neutral,neutral,35
poultry_broth,neutral,neutral,35
rosehips,neutral,neutral,35
beef_tripe,neutral,neutral,34
vegetable_juice,neutral,neutral,34
sunflower_lecithin,neutral,neutral,34
bison,good,good,34
raspberries,neutral,neutral,33
lentil_fiber,neutral,neutral,33
white_fish,neutral,neutral,32
rabbit,good,good,31
trout,good,good,31
cheese_powder,neutral,neutral,30
sodium_silico_aluminate,neutral,neutral,30
vegetable_broth,neutral,neutral,29
soy_grits,caution,caution,29
wheat_bran,neutral,caution,29
ocean_fish_meal,neutral,neutral,29
rolled_oats,neutral,neutral,29
duck_broth,neutral,neutral,29
turkey_giblets,neutral,neutral,28
chamomile,neutral,neutral,27
red_#3,neutral,neutral,27
annatto_extract,neutral,neutral,27
olive_oil,neutral,neutral,27
chicken_cartilage,neutral,neutral,27
dandelion,neutral,neutral,26
soybean_hulls,neutral,neutral,26
zinc_methionine_hydroxy_analogue_chelate,neutral,neutral,26
manganese_methionine_hydroxy_analogue_chelate,neutral,neutral,26
copper_methionine_hydroxy_analogue_chelate,neutral,neutral,26
coconut_flour,neutral,neutral,25
spearmint,neutral,neutral,25
bacon_fat,neutral,neutral,25
carrot_powder,neutral,neutral,24
chicory,neutral,neutral,24
pollock_oil,neutral,neutral,24
rye,neutral,neutral,23
safflower_oil,neutral,neutral,23
chicken:_chicken,neutral,neutral,22
pineapple,neutral,neutral,22
turkey_bone_broth,neutral,neutral,22
green_pea,neutral,neutral,21
ferrous_glycine,neutral,neutral,21
sodium_aluminosilicate,neutral,neutral,21
naturally_occurring_microorganisms._the_facility_in_which_this_food_is_made_also_makes_food_that_may_contain_other_ingredients,neutral,neutral,20
naturally_occurring_microorganisms,neutral,neutral,20
marine_microalgae,neutral,neutral,20
beef_bone,neutral,neutral,20
citric_acid_for_freshness,neutral,neutral,20
turkey_heart,neutral,neutral,20
aloe_vera_gel_concentrate,neutral,neutral,20
cobalt_glucoheptonate,neutral,neutral,19
pineapple_stem,neutral,neutral,19
turkey_flavor,neutral,neutral,19
lactobacillus_acidophilus_fermentation_product_dehydrated,neutral,neutral,19
garlic,neutral,neutral,19
lamb_tripe,neutral,neutral,19
lactobacillus_acidophilus_fermentation_product,neutral,neutral,19
catfish_meal,neutral,neutral,19
chickpea,neutral,neutral,18
egg_and_chicken_flavor,neutral,neutral,18
purple_potatoes,neutral,neutral,18
brown_sugar,neutral,neutral,18
spray_dried_animal_blood_cells,neutral,neutral,18
sodium_carboxymethylcellulose,neutral,neutral,18
cod_liver_oil,neutral,neutral,17
avocado_oil,neutral,neutral,17
sage_extract,neutral,neutral,17
turkey_by_product_meal,neutral,neutral,17
lamb_broth,neutral,neutral,17
glyceryl_monostearate,neutral,neutral,17
tryptophan,neutral,neutral,16
faba_beans,neutral,neutral,16
dipotassium_phosphate,neutral,neutral,16
beef_spleen,neutral,neutral,16
wheat_middlings,neutral,caution,15
avocado,neutral,neutral,15
red_40_lake,caution,caution,15
rose_hips,neutral,neutral,15
parsley_flakes,neutral,neutral,15
lactobacillus_lactis_fermentation_product,neutral,neutral,15
malt_extract,neutral,neutral,15
potassium_carbonate,neutral,neutral,15
wild_rice,neutral,neutral,14
oranges,neutral,neutral,14
betaine_anhydrous,neutral,neutral,14
blackberries,neutral,neutral,14
duck_liver,neutral,neutral,14
yellow_6_lake,caution,caution,13
threonine,neutral,neutral,13
disodium_phosphate,neutral,neutral,13
banana,neutral,neutral,13
malted_barley,neutral,neutral,13
beef_plasma,neutral,neutral,13
sardine_meal,neutral,neutral,13
copper_lysine_complex,neutral,neutral,12
manganese_methionine_complex,neutral,neutral,12
split_peas,neutral,neutral,12
rotisserie_chicken_flavor,neutral,neutral,12
calcium_lodate,neutral,neutral,12
turkey_gizzard,neutral,neutral,12
tomato_puree,neutral,neutral,12
carotene,neutral,neutral,12
chia,neutral,neutral,12
goji_berry,neutral,neutral,11
grilled_chicken_flavor,neutral,neutral,11
probiotics,neutral,neutral,11
carob_bean_gum,neutral,neutral,11
spray_dried_porcine_plasma,neutral,neutral,11
field_peas,neutral,neutral,11
pyridoxine_hydrocholoride,neutral,neutral,11
shrimp_meal,neutral,neutral,11
mixed_tocopherols_and_rosemary_extract,good,good,10
papaya_extract,neutral,neutral,10
coconut_meal,neutral,neutral,10
wild_boar,neutral,neutral,10
preservative,neutral,neutral,10
thiamin_mononitrate,neutral,neutral,10
bovine_colostrum,neutral,neutral,10
crab_meal,neutral,neutral,10
blood_meal_conventionally_dried,neutral,neutral,10
cooked_bone_marrow,neutral,neutral,10
lipoic_acid,neutral,neutral,9
beef_flavor,neutral,neutral,9
corn_protein_concentrate,neutral,caution,9
porterhouse_steak_flavor,neutral,neutral,9
annatto_color,neutral,neutral,9
buffered_vinegar,neutral,neutral,9
sodium_citrate,neutral,neutral,9
yucca_schidigera,neutral,neutral,9
spearmint_extract._this_is_a_naturally_preserved_product,neutral,neutral,9
pumpkin_seed_flour,good,good,9
suncured_alfalfa,neutral,neutral,9
mackerel_meal,neutral,neutral,9
blood_meal,neutral,neutral,9
turmeric_powder,good,neutral,9
kelp_powder,neutral,neutral,8
pasta,neutral,neutral,8
beef:_beef,neutral,neutral,8
pea,neutral,neutral,8
alaska_pollock_meal,neutral,neutral,8
ham,neutral,neutral,8
sweet_basil,neutral,neutral,8
thyme_extract,neutral,neutral,8
paprika_extract,neutral,neutral,8
turkey_hearts,neutral,neutral,8
spray_dried_pork_liver,neutral,neutral,8
flax_seed_meal,neutral,neutral,8
oceanfish,neutral,neutral,8
chicken_giblets,neutral,neutral,8
manganese_sulphate,neutral,neutral,7
beef_hearts,neutral,neutral,7
broth,neutral,neutral,7
beef_cartilage,neutral,neutral,7
pork_kidney,neutral,neutral,7
grilled_steak_flavor,neutral,neutral,7
sodium_selenium,neutral,neutral,7
mono_and_diglycerides_of_fatty_acids,neutral,neutral,7
almonds,neutral,neutral,7
gla_safflower_oil,neutral,neutral,7
kale_powder,neutral,caution,7
catfish_oil,neutral,neutral,7
cassava_flour,neutral,neutral,7
duck_fat,neutral,neutral,7
riboflavin,neutral,neutral,6
hydrochloric_acid,neutral,neutral,6
soybean_mill_run,neutral,neutral,6
rabbit_meal,neutral,neutral,6
meat_&_bone_meal,neutral,neutral,6
chicken_with_ground_bone,neutral,neutral,6
apple_pectin,neutral,neutral,6
pepper,neutral,neutral,6
venison_meal,neutral,neutral,6
milo,neutral,neutral,6
reed_sedge_peat,neutral,neutral,6
lions_mane_mushroom,neutral,neutral,6
bacillus_subtillis_fermentation_product,neutral,neutral,6
krill_meal,neutral,neutral,6
smoke_flavored_salmon,neutral,neutral,5
water_buffalo,neutral,neutral,5
shiitake_mushroom,neutral,neutral,5
beef_by_product,neutral,neutral,5
high_fructose_corn_syrup,neutral,neutral,5
essential_nutrients_and_other_ingredients:_minerals,neutral,neutral,5
folic_acid_and_calcium_iodate,neutral,neutral,5
mixed_tocopherol,neutral,neutral,5
magnesium_gluconate,neutral,neutral,5
sodium_benzoate,neutral,neutral,5
pork_and_bone_meal,neutral,neutral,5
bison_meal,neutral,neutral,5
whiting_meal,neutral,neutral,5
colors,neutral,neutral,5
milled_rice,neutral,neutral,5
mannan_oligosaccharides,neutral,neutral,5
vitamin_pp,neutral,neutral,5
zinc_sulphate_monohydrate,neutral,neutral,5
tocopherol_extract_from_vegetable_oils,neutral,neutral,5
prime_rib_flavor,neutral,neutral,5
basil,neutral,neutral,5
enriched_egg_noodles,neutral,neutral,5
tea,neutral,neutral,5
brewer’s_liquid_yeast,neutral,neutral,5
mixed_tocopherols_&_citric_acid,good,good,5
quinoa_seed,neutral,neutral,5
aspergillus_oryzae_fermentation_product,neutral,neutral,5
artificial_beef_flavor,caution,caution,4
sweet_potato_powder,neutral,neutral,4
limestone,neutral,neutral,4
beef_&_bone_meal,neutral,neutral,4
seabass,neutral,neutral,4
chondroitin_sulphate,neutral,neutral,4
beef_and_bone_meal,neutral,neutral,4
pork_fat_preserved_with_mixed_tocopherols,neutral,neutral,4
fish_oil_powder,good,good,4
label_or_packaging_for_the_most_accurate_and_complete_ingredients_list,neutral,neutral,4
l_lysine_hydrochloride,neutral,neutral,4
new:_chicken,neutral,neutral,4
turkey_with_ground_bone,neutral,neutral,4
vitamin_esupplement,neutral,neutral,4
feeding_oatmeal,neutral,neutral,4
dehulled_soybean_meal,neutral,neutral,4
oat,neutral,neutral,4
yucca_schidegera_extract,neutral,neutral,4
propionic_acid,neutral,neutral,4
spinach_chicken,neutral,caution,4
diatomaceous_earth,neutral,neutral,4
water_buffalo_meal,neutral,neutral,4
clinoptilolite_of_sedimentary_origin,neutral,neutral,4
cesar_simply_crafted_chicken,neutral,neutral,4
duck_bone_broth,neutral,neutral,3
dried_tomato,neutral,neutral,3
black_malted_barley,neutral,neutral,3
blue_2_lake,caution,caution,3
beef_fat_naturally_preserved_with_mixed_tocopherols,neutral,neutral,3
aloe_vera_extract,neutral,neutral,3
jungle_calling_cod,neutral,neutral,3
marine_algae_oil,neutral,neutral,3
pumpkin_powder,good,good,3
filet_mignon_flavor:_beef,neutral,neutral,3
filet_mignon:_beef,neutral,neutral,3
betaine_hydrochloride,neutral,neutral,3
angus_beef_flavor,neutral,neutral,3
potassium_iodide._filet_mignon_flavor_with_bacon_&_potato:_beef,neutral,neutral,3
vitamins_&_minerals,neutral,neutral,3
pumpkin_meal,good,good,3
de_boned_chicken,neutral,neutral,3
turkey_recipe:_turkey,neutral,neutral,3
crushed_red_chili_pepper,neutral,neutral,3
folic_acid_lamb_recipe_lamb,neutral,neutral,3
new_york_strip_flavor,neutral,neutral,3
chicken_fat_preserved_with_mixed_tocopherols_and_citric_acid,good,good,3
ferrous_amino_acid_complex,neutral,neutral,3
water_chicken,neutral,neutral,3
filet_mignon_flavor:_water,neutral,neutral,3
potassium_iodide._grilled_chicken:_chicken,neutral,neutral,3
lactobacillus_pantarum_fermentation_product,neutral,neutral,3
cage_free_chicken,neutral,neutral,3
rice_middlings,neutral,neutral,3
beef_and_chicken_broth,neutral,neutral,3
guar_gum._chicken_&_tuna_recipe:_chicken,neutral,neutral,2
potassium_iodide._lamb:_lamb,neutral,neutral,2
amino_acid,neutral,neutral,2
egg_white_powder,neutral,neutral,2
xanthan_gum._country_stew:_water,neutral,neutral,2
rice_&_vegetable_flavor:_water,neutral,neutral,2
vitamin_d3_supplement_pot_roast_&_vegetables:_beef,caution,caution,2
dairy,neutral,neutral,2
noodle_product,neutral,neutral,2
trace_minerals,neutral,neutral,2
beef_stew:_beef,neutral,neutral,2
potato_&_green_beans:_turkey,neutral,neutral,2
chicken_paw_pie:_chicken_broth,neutral,neutral,2
vitamins._f421018,neutral,neutral,2
potassium_iodide_filet_mignon:_beef,neutral,neutral,2
soy_flakes,caution,caution,2
in_a_beef_collagen_casing,neutral,neutral,2
soybean_germ_meal,neutral,neutral,2
cultured_yeast,neutral,neutral,2
sole_&_shrimp_feast:_cod,neutral,neutral,2
mackerel_&_lamb,neutral,neutral,2
bacon_broth,neutral,neutral,2
e408225,neutral,neutral,2
beef_stock,neutral,neutral,2
natual_flavor,neutral,neutral,2
retinol_palmitate,neutral,caution,2
grilled_new_york_strip_flavor,neutral,neutral,2
poultry_and_pork_digest,neutral,neutral,2
chicken_and_beef:_chicken,neutral,neutral,2
cage_free_turkey,neutral,neutral,2
arrowroot,neutral,neutral,2
hickory_smoked_chicken_flavor,neutral,neutral,2
potassium_iodide_beef:_beef,neutral,neutral,2
with_beef:_water,neutral,neutral,2
they_contain_no_chicken,neutral,neutral,2
new:_beef,neutral,neutral,2
buffalo_meal,neutral,neutral,2
smoke_flavored_turkey,neutral,neutral,2
tender_chicken,neutral,neutral,2
chicken_&_turkey:_chicken,neutral,neutral,2
potassium_iodide._chicken_&_lamb:_chicken,neutral,neutral,2
menhaden_fish_meal_dried_chickpeas,neutral,neutral,2
fruits_and_vegetables,neutral,neutral,2
anchovy_meal,neutral,neutral,2
vitamin_d3_supplement_chicken_&_noodle:_chicken,caution,caution,2
filet_mignon:_ingredients:_sufficient_water_for_processing,neutral,neutral,2
rosemary_extract._original:_beef_meal,good,good,2
sodium_tripolyphophate,neutral,neutral,2
new:_beef_meal,neutral,neutral,2
saccharomyces_cerevisiae_yeast_culture,neutral,neutral,2
pea_protein_concentrate,caution,danger,2
barley_&_spinach_recipe:_chicken,neutral,neutral,2
peas_&_carrots_recipe:_beef,neutral,neutral,2
vitmans,neutral,neutral,2
wood_grilled_chicken_flavor,neutral,neutral,2
white_potatoes,neutral,neutral,2
xanthan_gum._roasted_chicken,neutral,neutral,1
with_real_beef:_beef_broth,neutral,neutral,1
hearty_cuts_with_real_beef__chicken_in_gravy,neutral,neutral,1
potassium_iodide_angus_beef_flavor_with_bacon_&_cheese:_beef,neutral,neutral,1
vitamin_d3_supplement_i61132_prime_filets_chicken__tuna_dinner_in_gravy_water,caution,caution,1
potassium_iodide._duck:_duck,neutral,neutral,1
rosemary._vegetarian:_pumpkin,neutral,neutral,1
d408120,neutral,neutral,1
yellow_#5._prime_rib,neutral,neutral,1
beneful_steak_flavor_with_green_beans_in_gravy_dog_food_:_water,neutral,neutral,1
a371925,neutral,neutral,1
pea_fiver,neutral,neutral,1
or_preservatives_and_no_gluten,neutral,neutral,1
or_wheat,neutral,neutral,1
a372025._beneful_with_real_chicken_&_peas_in_gravy_dog_food_:_chicken_broth,neutral,neutral,1
this_all_natural_chicken_broth_is_dog_safe_and_has_no_artificial_colors,neutral,neutral,1
red_40._f411319,caution,caution,1
new:_whole_mackerel,neutral,neutral,1
apple_&_quinoa_in_broth_wet_dog_food_toppertuna_fillet_with_pumpkin,neutral,neutral,1
folic_acid._chicken_&_tuna_northshore:_chicken_broth,neutral,neutral,1
tuna_&_chicken:_tuna,neutral,neutral,1
wheat_shorts,neutral,caution,1
filet_mignon_flavor:_chicken,neutral,neutral,1
guar_gum._with_beef:_chicken,neutral,neutral,1
chicken_&_brown_rice:_chicken_and_turkey_broth,neutral,neutral,1
potassium_iodide_porterhouse_steak:_beef,neutral,neutral,1
blue_2._d412420,caution,caution,1
garlic_oil._e_4101,neutral,neutral,1
l_lysine_monohydrochloride._q416924,neutral,neutral,1
l_lysine_monohydrochloride._k418723,neutral,neutral,1
chicken_fat_preserved_with_mixed_tocopherols),good,good,1
a438825,neutral,neutral,1
linseed,neutral,neutral,1
psyllium_husks_and_seeds,neutral,neutral,1
garlic_oil._i448723,neutral,neutral,1
garlic_oil._p409420,neutral,neutral,1
carrots_&_green_beans_&_beef,good,neutral,1
chicken_&_tuna_dinner:_meat_by_products,neutral,neutral,1
l_lysine_monohydrochloride._f417519,neutral,neutral,1
d408020,neutral,neutral,1
carrgeenan,neutral,neutral,1
blue_2._h412424,caution,caution,1
chicken_dinner:_chicken,neutral,neutral,1
e408025._beneful_kitchen_creations_with_chicken:_chicken_broth,neutral,neutral,1
sodium_carbonate._beef_dinner:_beef,neutral,neutral,1
beneful_kitchen_creations_with_lamb:_water,neutral,neutral,1
carrageenan._chicken_and_turkey:_chicken,caution,caution,1
potassium_iodide_rotisserie_chicken_flavor_with_bacon_&_cheese:_chicken,neutral,neutral,1
e408125._beneful_kitchen_creations_with_beef:_beef_broth,neutral,neutral,1
choline_chloride._chicken_and_lamb:_chicken,neutral,neutral,1
filet_mignon_flavor_in_gravy:_sufficient_water_for_processing,neutral,neutral,1
combo_with_chicken,neutral,neutral,1
noodles_and_vegetables_flavor_in_sauce:_sufficient_water_for_processing,neutral,neutral,1
egg_noodle,neutral,neutral,1
bha_and_citric_acid,caution,caution,1
fructooligosaccharide_powder,neutral,neutral,1
added_colors._chicken_casserole_in_gravy:_sufficient_water_for_processing,neutral,neutral,1
added_colors._beef,neutral,neutral,1
guar_gum._beef,neutral,neutral,1
liver_&_beef:_chicken,neutral,neutral,1
lamb_dinner_with_garden_vegetables:_lamb,neutral,neutral,1
butylated_hydroxy_anisole,neutral,neutral,1
glucosamine_hydrochloride._d419424,neutral,neutral,1
new:_3,neutral,neutral,1
520_kcal/kg,neutral,neutral,1
choline_chloride.f406124,neutral,neutral,1
blue_1._b410922,neutral,neutral,1
grilled_chicken_flavor:_chicken,neutral,neutral,1
potassium_iodide_chicken_&_liver_recipe:_chicken,neutral,neutral,1
tender_pate_with_chicken,neutral,neutral,1
335_kcal/cup_original:_beef,neutral,neutral,1
choline_chloride.e406924._beef_stew:_beef_broth,neutral,neutral,1
potassium_iodide_turkey:_turkey,neutral,neutral,1
savory_rice_&_lamb_stew:_water,neutral,neutral,1
country_stew:_water,neutral,neutral,1
blue_2._a410724,caution,caution,1
rosemary_extract._original:_turkey,good,good,1
dl_methionine._real_lamb_recipe:_lamb_broth,neutral,good,1
l_tryptophan._thiamine_mononitrate,neutral,neutral,1
yellow_#5._chicken_&_rice_flavor:_water,neutral,neutral,1
real_chicken_recipe:_chicken_broth,neutral,neutral,1
folic_acid._original:_beef,neutral,neutral,1
new:_turkey,neutral,neutral,1
carrots_chicken,good,neutral,1
mixed_tocopherols_for_freshness._2c38474,good,good,1
ham_&_egg_flavor,neutral,neutral,1
products_from_the_processing_of_herbs:_bush_clovers,neutral,neutral,1
mouse_ear_hawkweed,neutral,neutral,1
products_and_co_products_from_the_processing_of_fresh_fruit_and_vegetables:_cranberry,neutral,neutral,1
nettle,neutral,neutral,1
potassium_iodide_ham_&_egg_flavor_with_potato_&_cheese:_pork,neutral,neutral,1
potassium_iodide._prime_rib_flavor:_water,neutral,neutral,1
prebiotic/probiotic_blend,neutral,neutral,1
folic_acid._original:_chicken,neutral,neutral,1
potassium_iodide._grilled_new_york_strip_flavor_with_vegetables_in_sauce:_beef,neutral,neutral,1
vitamin_d3_supplement._chunky_beef,caution,caution,1
omega_3_&_6_from_fish_oil,neutral,neutral,1
pork_meat_and_bone_meal,neutral,neutral,1
l_threonin,neutral,neutral,1
carrot_&_pea_stew:_chicken,neutral,neutral,1
carrot_&_pea_stew:_beef,neutral,neutral,1
blue_2._b411722,caution,caution,1
oven_roasted_chicken_flavor,neutral,neutral,1
rutabaga,neutral,neutral,1
tender_favorites_with_real_chicken_&_liver_in_sauce:_fish_broth,neutral,neutral,1
tapoica_starch,neutral,neutral,1
eggshell_meal,neutral,neutral,1
potassium_iodide_chicken_&_liver:_chicken,neutral,neutral,1
steak_&_eggs:_beef,neutral,neutral,1
without_any_artificial_additives_or_fillers.responsibly_sourced_and_packaged_using_eco_friendly_materials.see_more_+closeingredient_informationingredients100%_natural_beef_knee_cap.caloric_content1,neutral,neutral,1
oil_of_rosemary._turkey_recipe:_turkey,neutral,neutral,1
potassium_iodide_duck_recipe:_duck,neutral,neutral,1
red_40._d411419,caution,caution,1
deboned_trout,neutral,neutral,1
6_oz_bag—these_soft_and_savory_treats_are_made_with_real_lamb_followed_by_other_recognizable_ingredients_including_salmon,neutral,neutral,1
chicken_&_salmon_dinner_in_gravy:_water_sufficient_for_processing,neutral,neutral,1
sodium_selenite._u_4035,caution,caution,1
vitamin_d3_supplement._new_york_strip:_water,caution,caution,1
garlic_oil._a320324,neutral,neutral,1
vitamin_d3_supplement._filet_mignon:_water,caution,caution,1
mixed_tocopherols_for_freshness._2c38496,good,good,1
dl_methionine_hydroxy_analogue,neutral,good,1
reserved_with_mixed_tocopherols_and_citric_acid,neutral,neutral,1
d_activated_animal_sterol,neutral,neutral,1
prime_rib:_water,neutral,neutral,1
garlic_oil._n448824,neutral,neutral,1
l_lysine_monohydrochloride._g417923,neutral,neutral,1
real_chicken,neutral,neutral,1
turkey_&_venison:_poultry_broth,neutral,neutral,1
blue_2._a410624,caution,caution,1
rosemary_extract._chicken_&_duck_recipe:_chicken,good,good,1
d408220,neutral,neutral,1
rosemary_extract._chicken_recipe:_chicken,good,good,1
cricket,neutral,neutral,1
choline_chloride._f406024,neutral,neutral,1
chicken_&_venison_recipe:_chicken,neutral,neutral,1
yellow_#6._beef_recipe:_water,neutral,neutral,1
blue_2._f412422,caution,caution,1
carrots_&_green_beans_recipe:_chicken,good,neutral,1
lactosacc™_probiotics:_dried_enterococcus_faecium_fermentation_product,neutral,neutral,1
cobalt_carbonate_and_cobalt_glucoheptonate,neutral,neutral,1
folic_acid._savory_salmon_&_tempting_tuna_flavor:_water,neutral,neutral,1
sun_cured_ground_miscanthus_grass,neutral,neutral,1
water_chicken_recipe:_chicken,neutral,neutral,1
potassium_iodide._salmon:_salmon,neutral,neutral,1
menadione_sodium_bisulfite_complex._**chicken_&_salmon:**_chicken,caution,caution,1
lactobaciluus_plantarum_fermentation_product,neutral,neutral,1
corn_gluten_feed,neutral,caution,1
sodium_nitrate,neutral,neutral,1
bacon_&_cheese_flavor:_chicken,neutral,neutral,1
potassium_iodide_slow_cooked_chicken_&_vegetables_dinner:_chicken,neutral,neutral,1
grilled_chicken:_chicken,neutral,neutral,1
lactobaciluus_plantarum_fermentation_product._chicken_meal,neutral,neutral,1
duck_&_pumpkin:**_chicken,neutral,neutral,1
iron_oxide._grilled_chicken_flavor_in_sauce:_sufficient_water_for_processing,caution,caution,1
vitamin_d3_supplement._new_york_strip_flavor:_water,caution,caution,1
steak_frites:_water_sufficient_for_processing,neutral,neutral,1
a418225,neutral,neutral,1
rosemary_extract._chicken_&_wild_salmon_recipe:_chicken,good,good,1
calciumsulfate,neutral,neutral,1
oceanfish_meal,neutral,neutral,1
rotisserie_chicken_flavor_with_bacon_&_cheese:_chicken,neutral,neutral,1
potassium_iodide_oven_roasted_chicken_recipe:_chicken,neutral,neutral,1
beef:_ground_beef,neutral,neutral,1
burdock,neutral,neutral,1
